potras,doxodsn,natdox,nalog,ssber,denras,fakt,kvzv,dhpens
112106.94,172636.94,7564.95,11530.0,39000.0,133636.94,39000.0,578.420732,0
34824.8,152224.8,4803.92,24900.0,2500.0,149724.8,2500.0,3715.433821,0
105779.76,131929.76,12108.69,13650.0,2500.0,129429.76,2500.0,381.77429,0
115438.05,132938.05,0.0,0.0,17500.0,115438.05,17500.0,578.420732,0
93997.04,96497.04,12945.21,0.0,2500.0,93997.04,2500.0,594.205733,0
118349.51,160849.51,2239.8,20000.0,2500.0,158349.51,2500.0,578.420732,0
42963.32,58263.32,8035.48,7800.0,2500.0,55763.32,2500.0,324.636328,0
153067.76,183567.76,8882.98,20000.0,2500.0,181067.76,2500.0,578.420732,0
25558.08,34058.08,2945.0,0.0,2500.0,31558.08,2500.0,324.636328,1
77948.11,82280.11,0.0,0.0,2500.0,79780.11,2500.0,1308.746402,0
106228.18,152492.18,0.0,16290.0,28144.0,124348.18,28144.0,1014.679271,0
50981.08,47286.08,7636.17,0.0,2500.0,52286.08,-5000.0,569.484691,1
41883.28,45703.28,0.0,0.0,2500.0,43203.28,2500.0,569.484691,1
77214.17,104424.17,0.0,17550.0,7500.0,96924.17,7500.0,638.517644,0
66243.29,82059.29,0.0,13650.0,0.0,82059.29,0.0,625.959582,0
119628.28,175818.28,3480.5,46800.0,7500.0,168318.28,7500.0,638.517644,0
74796.98,79185.98,0.0,0.0,2500.0,76685.98,2500.0,625.959582,1
106769.08,176633.28,27216.08,35880.0,32110.0,144523.28,32110.0,1014.679271,0
136689.62,141034.62,0.0,0.0,2500.0,138534.62,2500.0,638.517644,0
59339.19,63999.19,0.0,0.0,2500.0,61499.19,2500.0,625.959582,1
109791.92,114496.92,0.0,0.0,2500.0,111996.92,2500.0,1014.679271,0
85049.63,91763.63,13830.9,0.0,2500.0,89263.63,2500.0,655.895088,1
81520.77,94217.25,0.0,7410.0,3000.0,91217.25,3000.0,638.517644,0
51282.21,54862.21,9428.9,0.0,2500.0,52362.21,2500.0,569.484691,1
108413.8,132243.8,7808.41,19500.0,2500.0,129743.8,2500.0,1014.679271,0
176322.3,231442.3,0.0,30000.0,12370.0,219072.3,12370.0,1014.679271,0
90006.24,102181.24,4628.4,8580.0,2500.0,99681.24,2500.0,1160.874187,0
146110.28,192629.28,0.0,24180.0,14500.0,178129.28,14500.0,669.71745,0
84293.76,89133.76,0.0,0.0,2500.0,86633.76,2500.0,625.959582,1
91653.88,112793.88,4714.45,11310.0,8000.0,104793.88,8000.0,625.959582,0
118478.83,146808.83,0.0,25350.0,2500.0,144308.83,2500.0,1075.194257,0
270903.15,310083.15,0.0,30030.0,7500.0,302583.15,7500.0,9095.247727,0
73270.32,76990.32,0.0,0.0,2500.0,74490.32,2500.0,655.895088,0
134186.45,183826.45,0.0,46800.0,500.0,183326.45,500.0,669.71745,0
104743.0,109383.0,12376.53,0.0,2500.0,106883.0,2500.0,1308.746402,0
171539.72,218904.72,0.0,15990.0,29500.0,189404.72,29500.0,7687.653429,0
62521.22,67228.22,2152.65,0.0,2500.0,64728.22,2500.0,625.959582,1
94326.51,110186.51,0.0,10530.0,2500.0,107686.51,2500.0,1308.746402,0
114280.52,125495.52,8265.51,6630.0,2500.0,122995.52,2500.0,1014.679271,0
105693.61,117369.61,16899.28,4900.0,2500.0,114869.61,2500.0,445.419064,0
86994.24,97180.24,12618.86,0.0,7500.0,89680.24,7500.0,445.419064,1
48978.5,52750.5,2590.0,0.0,2500.0,50250.5,2500.0,397.262848,1
62398.87,84433.87,14729.74,0.0,7500.0,76933.87,7500.0,457.541273,1
76368.15,80308.15,0.0,0.0,2500.0,77808.15,2500.0,436.658773,1
194255.86,211596.86,9769.11,8600.0,2500.0,209096.86,2500.0,707.823025,0
127420.32,144080.32,1000.0,12600.0,2500.0,141580.32,2500.0,445.419064,0
123113.09,127317.09,0.0,0.0,2500.0,124817.09,2500.0,445.419064,1
68435.85,83176.85,8270.72,9360.0,2500.0,80676.85,2500.0,436.658773,0
245109.95,279056.95,6616.26,8400.0,7500.0,271556.95,7500.0,6344.690334,0
157424.38,174808.38,0.0,13000.0,2500.0,172308.38,2500.0,750.037252,0
49287.04,53011.04,0.0,0.0,2500.0,50511.04,2500.0,397.262848,1
83804.46,97933.46,1300.0,9000.0,2500.0,95433.46,2500.0,436.658773,0
62132.02,66798.02,0.0,0.0,2500.0,64298.02,2500.0,436.658773,1
57373.01,62003.01,0.0,0.0,2500.0,59503.01,2500.0,436.658773,1
104716.16,116138.16,13370.0,6500.0,2500.0,113638.16,2500.0,707.823025,0
213803.91,236966.91,30000.0,13500.0,7500.0,229466.91,7500.0,750.037252,0
235842.61,259439.61,0.0,19000.0,2500.0,256939.61,2500.0,9163.340435,0
123538.02,175148.02,0.0,9600.0,39700.0,135448.02,39700.0,750.037252,0
86384.05,91290.05,15109.79,0.0,2500.0,88790.05,2500.0,457.541273,1
54875.34,89469.34,0.0,0.0,7500.0,81969.34,7500.0,436.658773,1
69885.46,74404.46,0.0,0.0,2500.0,71904.46,2500.0,457.541273,0
83318.06,97474.06,1980.0,0.0,2500.0,94974.06,2500.0,436.658773,1
161470.63,178490.63,10773.39,8700.0,2500.0,175990.63,2500.0,750.037252,0
145127.7,156720.7,7141.32,5500.0,2500.0,154220.7,2500.0,445.419064,0
57564.48,81828.48,0.0,0.0,2500.0,79328.48,2500.0,436.658773,1
158248.59,214028.59,8688.66,11000.0,37000.0,177028.59,37000.0,707.823025,0
68693.44,80308.44,5324.17,0.0,2500.0,77808.44,2500.0,436.658773,1
118056.41,134632.41,0.0,12300.0,2500.0,132132.41,2500.0,707.823025,0
117445.55,131775.55,8821.93,7400.0,2500.0,129275.55,2500.0,445.419064,0
75606.3,231843.3,0.0,17931.0,38306.0,193537.3,38306.0,4542.040646,0
50706.2,159983.99,0.0,8966.0,67500.0,92483.99,67500.0,4542.040646,0
69474.21,83181.21,0.0,11207.0,2500.0,80681.21,2500.0,457.078641,0
27495.95,31345.95,0.0,0.0,2500.0,28845.95,2500.0,396.861165,1
31902.31,95715.35,0.0,0.0,62500.0,33215.35,62500.0,436.217255,1
31150.84,40787.84,0.0,0.0,2500.0,38287.84,2500.0,396.861165,1
41394.41,95318.41,1541.14,0.0,52646.0,42672.41,52646.0,436.217255,1
54843.28,99690.28,0.0,13448.0,26549.0,73141.28,26549.0,444.968689,0
82612.9,95829.9,3700.0,0.0,7500.0,88329.9,7500.0,444.968689,1
43347.48,74437.48,0.0,0.0,19500.0,54937.48,19500.0,436.217255,1
83313.84,111000.83,0.0,17931.0,7500.0,103500.83,7500.0,707.107327,0
33845.97,54167.97,0.0,6721.0,12500.0,41667.97,12500.0,457.078641,0
84592.1,127303.1,7115.31,22414.0,17662.0,109641.1,17662.0,444.968689,0
42236.48,91841.48,0.0,12552.0,35988.0,55853.48,35988.0,436.217255,0
46819.22,55420.22,0.0,0.0,7500.0,47920.22,7500.0,457.078641,0
87243.13,161623.13,0.0,14943.0,57947.0,103676.13,57947.0,444.968689,0
93529.93,150047.59,0.0,34966.0,19230.0,130817.59,19230.0,444.968689,0
66935.06,70962.06,0.0,0.0,2500.0,68462.06,2500.0,436.217255,1
150243.15,176024.8,0.0,12103.0,12000.0,164024.8,12000.0,466.711137,0
320340.16,382919.16,9300.0,21380.0,17500.0,365419.16,17500.0,6338.275051,0
107325.62,104521.62,0.0,10310.0,21572.0,118949.62,-14428.0,444.968689,0
36248.36,64837.6,0.0,0.0,7500.0,57337.6,7500.0,436.217255,1
78639.74,110902.71,0.0,17931.0,12500.0,98402.71,12500.0,707.107327,0
53604.03,57241.03,0.0,0.0,2500.0,54741.03,2500.0,457.078641,0
102186.31,130704.31,1173.05,10759.0,17500.0,113204.31,17500.0,707.107327,0
45450.37,71584.37,3799.93,0.0,20350.0,51234.37,20350.0,436.217255,1
81748.48,109294.47,0.0,0.0,15500.0,93794.47,15500.0,444.968689,1
82695.63,149999.63,13000.0,12103.0,53815.0,96184.63,53815.0,707.107327,0
84691.33,111048.64,0.0,11207.0,7500.0,103548.64,7500.0,444.968689,0
102237.89,131440.89,0.0,24655.0,2500.0,128940.89,2500.0,707.107327,0
292528.55,313388.55,3000.0,18000.0,2500.0,310888.55,2500.0,11433.492574,0
76149.82,85600.82,4160.0,0.0,3000.0,82600.82,3000.0,570.893856,1
87131.25,92373.25,9000.0,0.0,1000.0,91373.25,1000.0,555.768455,0
71872.55,118835.55,0.0,14400.0,7000.0,111835.55,7000.0,544.837864,0
95278.26,104765.26,2500.0,0.0,2000.0,102765.26,2000.0,544.837864,1
56796.4,68156.4,5700.0,7800.0,2000.0,66156.4,2000.0,544.837864,0
105158.83,115432.83,0.0,0.0,3000.0,112432.83,3000.0,544.837864,1
70467.54,77171.54,3230.0,0.0,2000.0,75171.54,2000.0,570.893856,1
90631.83,149417.83,1500.0,23400.0,34000.0,115417.83,34000.0,883.181124,0
78552.27,84968.27,2800.0,0.0,1000.0,83968.27,1000.0,570.893856,1
95484.23,105262.78,5900.0,0.0,3000.0,102262.78,3000.0,555.768455,1
81121.34,106893.14,6250.0,0.0,800.0,106093.14,800.0,555.768455,0
64419.71,77697.71,0.0,0.0,2000.0,75697.71,2000.0,544.837864,1
56116.32,60862.32,0.0,0.0,3000.0,57862.32,3000.0,544.837864,1
119705.87,143969.87,5500.0,9750.0,13200.0,130769.87,13200.0,582.924898,0
88784.59,101183.59,6350.0,6000.0,1000.0,100183.59,1000.0,555.768455,0
96267.47,104438.54,6200.0,0.0,2000.0,102438.54,2000.0,555.768455,1
99474.02,107510.02,8050.0,0.0,1000.0,106510.02,1000.0,555.768455,1
142588.49,168754.48,6400.0,18100.0,2000.0,166754.48,2000.0,555.768455,0
91182.08,97958.08,9200.0,0.0,5000.0,92958.08,5000.0,555.768455,1
102296.76,122800.76,3500.0,7800.0,11000.0,111800.76,11000.0,555.768455,0
71696.71,80827.91,9290.0,0.0,1500.0,79327.91,1500.0,570.893856,1
63095.67,66825.67,3655.17,0.0,1000.0,65825.67,1000.0,544.837864,1
67154.85,76784.85,9700.0,0.0,2500.0,74284.85,2500.0,544.837864,1
128086.77,148876.77,4780.0,17550.0,1500.0,147376.77,1500.0,883.181124,0
79686.01,96564.01,0.0,10530.0,1500.0,95064.01,1500.0,544.837864,0
74892.78,76524.78,9200.0,0.0,0.0,76524.78,0.0,544.837864,1
131887.5,153586.5,1600.0,15600.0,500.0,153086.5,500.0,5673.034928,0
58324.33,58324.33,54215.0,0.0,0.0,58324.33,0.0,495.681881,1
68001.59,80301.59,4000.0,7800.0,500.0,79801.59,500.0,544.837864,0
51066.13,79594.13,0.0,23400.0,2500.0,77094.13,2500.0,774.20422,0
90025.36,96499.48,9625.32,0.0,2500.0,93999.48,2500.0,753.692265,1
77667.6,125758.6,0.0,23400.0,23200.0,102558.6,23200.0,753.692265,0
30348.17,34375.17,0.0,0.0,2500.0,31875.17,2500.0,672.207277,1
104916.6,107416.6,0.0,0.0,2500.0,104916.6,2500.0,753.692265,0
39469.75,59496.75,0.0,12000.0,2500.0,56996.75,2500.0,672.207277,0
216727.21,224454.57,10760.78,800.0,2500.0,221954.57,2500.0,1197.705224,1
115687.84,127388.84,0.0,8100.0,2500.0,124888.84,2500.0,738.869003,0
